2019-10-21 11:48:15.959 INFO	c.t.a.f.f.r.a.FileDatasetBuilder:165	 ADF Selected; adf type ([ENVISAT_PROCESSOR_CONFIG]), file type (PROCESSOR_CONFIG), filename  (/media/fast_data/fast_test_data/data/aatsr/adf/ATS_PC1_AXVIEC20120618_154211_20101022_000000_20200101_000000)	
2019-10-21 11:48:29.939 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1177 latitude 24.165096843317983 longitude 86.90244136995086	
2019-10-21 11:48:29.939 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 24.184449196512393 longitude 86.9988392478384	
2019-10-21 11:48:29.939 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1177 latitude 24.201156236187316 longitude 87.09518740350099	
2019-10-21 11:48:29.940 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1174 latitude 24.215225876003952 longitude 87.19163646965742	
2019-10-21 11:48:29.940 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1176 latitude 24.2266659795187 longitude 87.28812953136071	
2019-10-21 11:48:29.941 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1174 latitude 24.235488261781317 longitude 87.38455983508199	
2019-10-21 11:48:29.941 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1176 latitude 24.241705783802633 longitude 87.48084324341774	
2019-10-21 11:48:29.942 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1174 latitude 24.245332843742077 longitude 87.57690353547197	
2019-10-21 11:48:29.942 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 24.24637378249649 longitude 87.672764202667	
2019-10-21 11:48:29.943 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1173 latitude 24.24483651051227 longitude 87.76838758623641	
2019-10-21 11:48:29.943 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 24.24073590625919 longitude 87.8636836346142	
2019-10-21 11:48:29.944 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1173 latitude 24.234082087268668 longitude 87.9586070500469	
2019-10-21 11:48:29.944 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 24.224885077241684 longitude 88.05311167871047	
2019-10-21 11:48:29.945 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1173 latitude 24.213155057778618 longitude 88.14714945789974	
2019-10-21 11:48:29.946 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 24.198905228082214 longitude 88.24065915929593	
2019-10-21 11:48:29.946 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1173 latitude 24.182143402188007 longitude 88.33360514771769	
2019-10-21 11:48:29.947 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 24.162880788800937 longitude 88.42593551905975	
2019-10-21 11:48:29.947 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1173 latitude 24.14112777628997 longitude 88.5176024543694	
2019-10-21 11:48:29.948 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 24.116894527275427 longitude 88.60855887235614	
2019-10-21 11:48:29.949 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1173 latitude 24.090190945508176 longitude 88.69875859360285	
2019-10-21 11:48:29.949 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 24.061027877202083 longitude 88.7881512800661	
2019-10-21 11:48:29.949 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1173 latitude 24.02941534181884 longitude 88.8766904462017	
2019-10-21 11:48:29.950 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 23.99536246893371 longitude 88.96433231325811	
2019-10-21 11:48:29.950 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1173 latitude 23.958880955361792 longitude 89.05102396844654	
2019-10-21 11:48:29.951 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 23.91998136649323 longitude 89.13671712075235	
2019-10-21 11:48:29.951 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1173 latitude 23.878670739187502 longitude 89.22137383235871	
2019-10-21 11:48:29.952 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1176 latitude 23.834963842104386 longitude 89.30493301537275	
2019-10-21 11:48:29.952 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1174 latitude 23.788867968886358 longitude 89.38735572817558	
2019-10-21 11:48:29.953 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1176 latitude 23.740395895816544 longitude 89.46858770464037	
